sample,L,N,S,best_value,interval,interval_num
0000,50,95,36,7585960.0,16,5
0001,35,66,289,1393282.0,1,380
0002,23,89,324,1452119.0,93,6
0003,35,61,4,75017179.0,14,2
0004,33,81,529,280656.0,566,2
0005,35,93,529,241340.0,348,3
0006,30,89,784,156022.0,838,2
0007,49,71,36,8019226.0,2,55
0008,30,87,784,144999.0,870,2
0009,10,61,196,10522311.0,14,23
0010,22,95,1,125232620.0,7,5
0011,45,73,81,4471353.0,1,145
0012,24,76,25,22480721.0,1,90
0013,43,96,1,50518369.0,13,2
0014,26,65,144,4499782.0,5,52
0015,43,93,361,451758.0,34,17
0016,24,78,81,7930688.0,7,22
0017,19,98,81,8495040.0,2,125
0018,39,73,25,17120128.0,11,7
0019,46,65,576,210763.0,1,829
0020,26,94,81,7085274.0,3,65
0021,17,62,484,1773570.0,117,6
0022,28,62,289,1969629.0,2,193
0023,16,90,16,45960952.0,24,4
0024,21,62,900,405527.0,733,2
0025,10,65,841,1399842.0,784,2
0026,14,74,784,864716.0,712,2
0027,13,95,225,4533580.0,1,471
0028,25,76,441,969358.0,368,2
0029,40,79,25,14350497.0,5,16
0030,40,96,9,30653784.0,12,5
0031,20,72,225,3636981.0,2,187
0032,48,70,256,832601.0,2,186
0033,35,60,900,124033.0,806,2
0034,36,65,1,60577425.0,1,57
0035,22,60,576,917768.0,25,30
0036,48,91,16,17864238.0,6,10
0037,10,85,625,2103970.0,330,3
0038,13,71,484,2530736.0,2,335
0039,23,79,289,1928704.0,35,13
0040,49,98,784,54598.0,780,2
0041,19,75,9,68234049.0,14,5
0042,31,64,36,14891962.0,34,3
0043,33,95,36,10315762.0,16,8
0044,29,79,841,178247.0,817,2
0045,11,87,729,976048.0,840,2
0046,10,92,625,2023261.0,1,968
0047,23,89,196,3170516.0,1,353
0048,15,99,100,9563975.0,6,44
0049,20,68,36,23634583.0,4,32
0050,31,85,256,1503803.0,32,13
0051,24,74,169,3794994.0,3,90
0052,46,80,676,124726.0,614,2
0053,45,70,289,759234.0,14,30
0054,43,71,256,1001237.0,6,63
0055,19,84,4,84648919.0,15,3
0056,32,68,81,6748003.0,30,5
0057,19,82,324,2277301.0,44,11
0058,45,76,900,67332.0,865,2
0059,16,68,729,710786.0,709,2
0060,39,96,441,343660.0,1,740
0061,10,96,36,33978495.0,13,15
0062,46,71,729,88384.0,653,2
0063,32,94,121,3704965.0,17,12
0064,13,75,576,2004996.0,3,248
0065,42,93,324,561011.0,13,41
0066,32,79,484,522013.0,8,90
0067,34,73,729,180860.0,688,2
0068,11,83,441,3012274.0,1,643
0069,39,82,900,49379.0,921,2
0070,24,76,784,350943.0,671,2
0071,48,91,121,1876313.0,3,78
0072,25,75,81,8084536.0,1,154
0073,31,98,729,146410.0,832,2
0074,43,68,49,7399283.0,14,9
0075,23,81,441,1078889.0,9,73
0076,28,86,16,27356788.0,50,2
0077,40,89,81,4093983.0,17,9
0078,32,86,400,602346.0,1,680
0079,30,79,9,43100030.0,2,30
0080,44,82,225,1139319.0,20,17
0081,18,95,100,7646886.0,1,220
0082,40,81,9,37645500.0,18,3
0083,50,69,169,1227982.0,4,75
0084,31,67,324,1227094.0,6,78
0085,12,95,144,8191573.0,7,52
0086,43,74,900,59834.0,943,2
0087,13,67,841,943564.0,738,2
0088,24,97,1,95412018.0,1,58
0089,41,82,36,8731051.0,54,2
0090,17,63,484,1705678.0,1,671
0091,18,79,361,2324839.0,1,497
0092,15,95,529,1094598.0,2,485
0093,19,99,361,1207722.0,167,4
0094,46,70,729,113168.0,400,3
0095,23,94,225,2495778.0,6,63
0096,26,72,900,166353.0,805,2
0097,33,87,529,378613.0,215,4
0098,26,84,676,303157.0,662,2
0099,23,65,36,19215250.0,40,3
