sample,L,N,S,best_value,interval,interval_num
0100,15,65,1,119681647.0,5,15
0101,15,75,1,141034176.0,8,5
0102,15,85,1,102606198.0,10,7
0103,15,95,1,95339064.0,12,3
0104,25,65,1,104969685.0,9,6
0105,25,75,1,37644480.0,47,2
0106,25,85,1,114992227.0,8,3
0107,25,95,1,19304677.0,1,152
0108,35,65,1,99373945.0,11,3
0109,35,75,1,131971389.0,1,29
0110,35,85,1,36369879.0,36,2
0111,35,95,1,116802781.0,2,9
0112,45,65,1,11794520.0,11,10
0113,45,75,1,10170081.0,17,7
0114,45,85,1,86102535.0,3,10
0115,45,95,1,22604040.0,4,19
0116,15,65,4,126459341.0,6,6
0117,15,75,4,120483089.0,4,11
0118,15,85,4,60889029.0,26,2
0119,15,95,4,80515428.0,17,5
0120,25,65,4,13040752.0,1,190
0121,25,75,4,60892143.0,2,37
0122,25,85,4,31431518.0,1,112
0123,25,95,4,11477797.0,1,199
0124,35,65,4,17426989.0,3,38
0125,35,75,4,54449387.0,24,2
0126,35,85,4,15830174.0,65,2
0127,35,95,4,41861603.0,8,8
0128,45,65,4,28843913.0,36,2
0129,45,75,4,57016704.0,2,19
0130,45,85,4,26608512.0,34,2
0131,45,95,4,20495903.0,42,2
0132,15,65,9,68139758.0,31,3
0133,15,75,9,69316979.0,32,3
0134,15,85,9,74485011.0,24,3
0135,15,95,9,63112029.0,9,9
0136,25,65,9,58763108.0,24,2
0137,25,75,9,55899524.0,2,24
0138,25,85,9,32151447.0,1,103
0139,25,95,9,44107347.0,11,6
0140,35,65,9,46883557.0,9,6
0141,35,75,9,41539729.0,7,8
0142,35,85,9,36509169.0,1,49
0143,35,95,9,31097119.0,16,4
0144,45,65,9,33312791.0,5,10
0145,45,75,9,15468397.0,1,95
0146,45,85,9,28625605.0,18,3
0147,45,95,9,27048432.0,12,4
0148,15,65,16,51867274.0,17,5
0149,15,75,16,46898860.0,2,55
0150,15,85,16,45764496.0,2,46
0151,15,95,16,43471760.0,4,31
0152,25,65,16,39248964.0,1,74
0153,25,75,16,35900842.0,5,18
0154,25,85,16,24330131.0,17,7
0155,25,95,16,27761861.0,18,5
0156,35,65,16,31690699.0,20,3
0157,35,75,16,27056073.0,18,4
0158,35,85,16,11861220.0,1,134
0159,35,95,16,10373662.0,81,2
0160,45,65,16,22856182.0,32,2
0161,45,75,16,10385808.0,1,112
0162,45,85,16,19601179.0,21,3
0163,45,95,16,16939139.0,13,5
0164,15,65,25,41140751.0,24,4
0165,15,75,25,35284720.0,7,22
0166,15,85,25,37105862.0,22,6
0167,15,95,25,31729593.0,46,3
0168,25,65,25,26620525.0,5,17
0169,25,75,25,22579735.0,1,76
0170,25,85,25,23183031.0,10,9
0171,25,95,25,19358446.0,38,3
0172,35,65,25,17169894.0,56,2
0173,35,75,25,16549716.0,2,48
0174,35,85,25,15920444.0,12,7
0175,35,95,25,13578706.0,52,2
0176,45,65,25,14974095.0,15,5
0177,45,75,25,12876927.0,3,22
0178,45,85,25,11876702.0,41,2
0179,45,95,25,10028934.0,45,2
0180,15,65,36,30826749.0,16,7
0181,15,75,36,31352798.0,1,141
0182,15,85,36,25605100.0,36,5
0183,15,95,36,25208932.0,6,27
0184,25,65,36,18332398.0,22,5
0185,25,75,36,16825811.0,15,7
0186,25,85,36,16696682.0,31,4
0187,25,95,36,15223263.0,27,5
0188,35,65,36,13122788.0,1,107
0189,35,75,36,10866287.0,4,26
0190,35,85,36,6513501.0,1,180
0191,35,95,36,11828463.0,12,9
0192,45,65,36,10540580.0,13,7
0193,45,75,36,9192806.0,19,5
0194,45,85,36,6967648.0,1,126
0195,45,95,36,6396666.0,78,2
0196,15,65,49,21678337.0,15,9
0197,15,75,49,20398156.0,19,9
0198,15,85,49,18757152.0,20,11
0199,15,95,49,17313757.0,1,196
0200,25,65,49,15493427.0,5,22
0201,25,75,49,13084183.0,6,24
0202,25,85,49,12722252.0,1,149
0203,25,95,49,10564044.0,83,2
0204,35,65,49,10123981.0,23,4
0205,35,75,49,9500625.0,3,37
0206,35,85,49,7596016.0,16,8
0207,35,95,49,5736589.0,1,183
0208,45,65,49,7591140.0,14,8
0209,45,75,49,4540523.0,7,24
0210,45,85,49,6656347.0,2,53
0211,45,95,49,5578000.0,51,3
0212,15,65,64,16668323.0,1,182
0213,15,75,64,16427181.0,9,22
0214,15,85,64,15190015.0,12,13
0215,15,95,64,13682085.0,1,218
0216,25,65,64,10751149.0,1,166
0217,25,75,64,10375134.0,1,164
0218,25,85,64,8298287.0,7,23
0219,25,95,64,8148305.0,1,187
0220,35,65,64,7853777.0,6,22
0221,35,75,64,6262447.0,52,3
0222,35,85,64,6353967.0,20,7
0223,35,95,64,6597276.0,12,12
0224,45,65,64,4851402.0,1,145
0225,45,75,64,5412180.0,13,10
0226,45,85,64,4233136.0,95,2
0227,45,95,64,4649283.0,1,149
0228,15,65,81,15216402.0,6,35
0229,15,75,81,13085022.0,1,213
0230,15,85,81,12300886.0,13,18
0231,15,95,81,10796725.0,1,209
0232,25,65,81,9022885.0,23,7
0233,25,75,81,7376159.0,1,181
0234,25,85,81,7109362.0,6,29
0235,25,95,81,6238304.0,20,12
0236,35,65,81,6072015.0,10,15
0237,35,75,81,5666008.0,36,4
0238,35,85,81,5103978.0,7,26
0239,35,95,81,4606084.0,9,20
0240,45,65,81,4089347.0,1,150
0241,45,75,81,4012622.0,2,69
0242,45,85,81,3319961.0,1,199
0243,45,95,81,3987233.0,5,26
0244,15,65,100,10973819.0,1,210
0245,15,75,100,10953805.0,1,259
0246,15,85,100,10218496.0,14,21
0247,15,95,100,8830582.0,1,268
0248,25,65,100,5865232.0,81,3
0249,25,75,100,6149514.0,15,14
0250,25,85,100,5757334.0,12,15
0251,25,95,100,4984829.0,1,259
0252,35,65,100,4712547.0,1,146
0253,35,75,100,4249967.0,5,41
0254,35,85,100,3889302.0,14,14
0255,35,95,100,3632891.0,3,66
0256,45,65,100,3735399.0,1,175
0257,45,75,100,3191850.0,20,8
0258,45,85,100,3144816.0,8,21
0259,45,95,100,2892008.0,2,99
0260,15,65,121,9413202.0,11,24
0261,15,75,121,9456491.0,7,42
0262,15,85,121,9258349.0,7,38
0263,15,95,121,7813336.0,8,38
0264,25,65,121,5472362.0,1,189
0265,25,75,121,5285923.0,47,5
0266,25,85,121,4807732.0,11,21
0267,25,95,121,4230298.0,8,34
0268,35,65,121,3553983.0,1,217
0269,35,75,121,3627026.0,3,63
